id	title	description	link	image_link	availability	price	brand	google_product_category	product_type	identifier_exists
3070f561-5c46-4c02-b53a-057eb4cb28f8	SupaNova Carissa 14.1   Laptop Backpack Pink	The Carissa Series Laptop Backpack is meticulously crafted to provide a secure haven for your 14.1  laptop, tablet, or other valuable devices, safeguarding them from potential damage caused by bumps, scratches, or dust. Its timeless and elegant design exudes an irresistible charm that beautifully complements any attire. The backpack offers ample space to accommodate your smaller accessories and essential items, including a ladies  handbag, making it a practical and stylish addition to your wardrobe. A classic and sophisticated essential for every woman s fashion collection.	https://digitalshopper.co.za/products/supanova-carissa-141-laptop-backpack-pink	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/1 (2).jpg	in_stock	649 ZAR	SupaNova	Bags and Covers	Backpacks	no
d963e739-6fdf-4c69-b651-3ddf44137227	Ageloc Boost System	Let your skin glow brighter. This system combines the Variable Pulse Microcurrent Technology of our ageLOC Boost device with the potent ingredients of its Activating Serum to bring out your skin’s brilliant best, leaving it visibly brighter, plumper, and bouncier, illuminating your complexion with a youthful radiance and even tone – all in just two minutes, once per day!	https://digitalshopper.co.za/products/ageloc-boost-system	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/boost.webp	in_stock	6519.55 ZAR	AgeLoc	Cosmetics	Beauty Devices	no
5c20c745-4b1b-4d39-a37e-c048e67b6e27	Xiaomi Robot Vacuum S10+	Keep your home clean from dirt and dust with the Xiaomi Robot Vacuum Cleaner S10+. It features double-pad pressure mopping for better stain removal, easy cleaning of dust and debris and removal of minute dust particles. It comes with an extra large 5200mAh battery to allow for longer battery life when vacuuming and mopping. The Xiaomi S10+ is also equipped with high-quality parts, including a side brush, main brush and dust compartment, with multi-directional coordination for a complete and efficient cleaning experience. It uses an LDS laser navigation system to allow smart house planning and fast and precise mapping.	https://digitalshopper.co.za/products/xiaomi-robot-vacuum-s10	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/BHR6368EU_wr_04.jpg	in_stock	9699 ZAR	Xiaomi	Home & Garden	Home Appliances	no
b252e949-e8db-4739-8c32-10e5c1eb9ed3	Vitamin C Plus Zinc	Pharmanex Vitamin C Plus Zinc contains vitamin C and zinc - two micronutrients that contribute to the normal functioning of your immune system. Vitamin C helps protect cells from oxidative stress. It also supports normal collagen formation, while zinc contributes to the maintenance of normal skin, hair, and nails. Both micronutrients are beneficial to your well-being by supporting normal psychological function (vitamin C) and cognitive function (zinc).	https://digitalshopper.co.za/products/vitamin-c-plus-zinc	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/pharmanex-vitamin-c-zinc-bottle-product-picture-1.webp	in_stock	489 ZAR	Pharmanex	Sport & Health	Supplements	no
7fdcb264-4020-4d68-b200-12a30a8886b9	Azure Series Fashion Smart Watch	The Volkano Azure Series smart watch is the perfect companion for anyone looking to stay active and connected. With its sleek design, IP68 waterproof rating, and impressive 5-day battery life, the Azure Series is the perfect watch for everyday wear.	https://digitalshopper.co.za/products/azure-series-fashion-smart-watch	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/vk-5076-pk.webp	in_stock	1299 ZAR	Volkano	Electronics	Smartwatches	no
b88c33f5-d33c-4a06-815a-25deda149e0a	Epoch Polishing Bar	Meet the Epoch Polishing Bar that can do it all! Containing ethnobotanical ingredients like Sea Clay Extract and Sisku’pas Bark, it leaves your skin feeling baby-soft and improves texture over time. It also helps gently exfoliate and get rid of dirt, excess oil, and impurities. Plus, it has a deep woody fragrance that lingers post shower! What better way to start the day than with silky-soft skin?	https://digitalshopper.co.za/products/epoch-polishing-bar	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/epoch.webp	in_stock	320 ZAR	Epoch	Cosmetics	Skincare	no
bd07919e-4bb8-4c30-b2b6-fd421235b0a1	The Face Canvas Wrap	An A0 size canvas wrap to hang in your home depicting an abstract image of a woman s face	https://digitalshopper.co.za/products/the-face-canvas-wrap	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/54931_front.jpg	in_stock	1499 ZAR	Daltar Canvases	Artwork	People	no
cc6548e1-88fe-450d-ad3d-ed6b254f3042	SupaNova Steph 14.1   Laptop Backpack Tan	The Carissa Series Laptop Backpack is meticulously crafted to provide a secure haven for your 14.1  laptop, tablet, or other valuable devices, safeguarding them from potential damage caused by bumps, scratches, or dust. Its timeless and elegant design exudes an irresistible charm that beautifully complements any attire. The backpack offers ample space to accommodate your smaller accessories and essential items, including a ladies  handbag, making it a practical and stylish addition to your wardrobe. A classic and sophisticated essential for every woman s fashion collection.	https://digitalshopper.co.za/products/supanova-steph-141-laptop-backpack-tan	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/ff.jpg	in_stock	649 ZAR	SupaNova	Bags and Covers	Backpacks	no
04ca1f22-7494-403b-893b-772d75dcd498	Cherry Blossom Panda	A cute panda on a branch full of pink flowers with beautiful	https://digitalshopper.co.za/products/cherry-blossom-panda	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/panda-canvas-gallery-wrap.webp	in_stock	1549 ZAR	Daltar Canvases	Artwork	Animals	no
e9bbddba-556b-47bf-8179-859244c62fbb	Epoch Blemish Treatment	Inspired by the rituals of Tropical Asia, the Epoch Blemish Treatment helps diminish the appearance of blemishes. Our hero ethnobotanical ingredient is Job’s Tears seed extract that’s known for its ability to soothe the skin. 	https://digitalshopper.co.za/products/epoch-blemish-treatment	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/epoch_blemish_treatment.webp	in_stock	299 ZAR	Epoch	Cosmetics	Skincare	no
c6bc8d01-f547-4f45-829e-8c5e4fab09f4	Butterfly Sunshine 	This poster would make a stunning addition to any room in your home. It would be perfect for a living room, bedroom, or office. It would also make a thoughtful gift for a loved one.	https://digitalshopper.co.za/products/butterfly-sunshine	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/butterfly_main.webp	in_stock	1549 ZAR	Daltar Canvases	Artwork	People	no
79f8a6bf-b92c-4852-ae5f-3425afb31132	Cat water painting canvas	Introducing an adorable canvas gallery wrap that captures the charming and lovable nature of a cat s face. This delightful piece of art brings the playful and endearing qualities of felines right into your home or office space.	https://digitalshopper.co.za/products/cat-water-painting-canvas	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/cat-canvas-gallery-wrap.webp	in_stock	1589 ZAR	Daltar Canvases	Artwork	Animals	no
4521f6d1-4e54-4b69-ac89-f70652bc8dfc	Mountainwave	Canvas wood frame poster for your living spaces. 	https://digitalshopper.co.za/products/mountainwave	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/mountain_wave_main.webp	in_stock	1549 ZAR	Daltar Canvases	Artwork	Landscapes	no
2315c7c8-847a-49ed-8a0a-4275ed11a3ee	Twilight Fires	Fantasy landscape with a man walking at golden hour with a full moon in the sky	https://digitalshopper.co.za/products/twilight-fires	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/twilight_fires_main.webp	in_stock	1549 ZAR	Daltar Canvases	Artwork	Landscapes	no
dfca767a-fe70-4bf5-892c-7f326e334699	Volumizing Conditioner	A hair conditioner featuring a perfectly balanced formula that effortlessly detangles and supports your hair’s softness and shine without weighing it down.	https://digitalshopper.co.za/products/volumizing-conditioner	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/volumizing-conditioner-main.webp	in_stock	389 ZAR	Nu Skin 180°	Cosmetics	Hair Care	no
7c2e42b5-74b6-4a5b-a7aa-bfc2e7858669	AgeLOC Boost Activating Serum	Contains skin brightening ingredients, a hydrating plumping blend, a caviar lime fruit extract for gentle exfoliation, and our proprietary ageLOC Blend to address the early visible signs of skin ageing at the source. 	https://digitalshopper.co.za/products/ageloc-boost-activating-serum	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/boost_actvating_serum.webp	in_stock	1199 ZAR	AgeLoc	Cosmetics	Skincare	no
3b80700d-d2eb-4230-b28c-1896f9a4ab56	 Tegreen 97 (120 count)	Tēgreen 97® is a proprietary, extract containing catechins as source of antioxidants and other polyphenols found naturally in green tea.	https://digitalshopper.co.za/products/tegreen-97-120-count	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/tegreen-120-main.webp	in_stock	1299 ZAR	Pharmanex	Sport & Health	Supplements	no
c690a655-da9d-4891-acfd-0f40bc81a0a5	SupaNova Steph 14.1   Laptop Backpack Black	The Carissa Series Laptop Backpack is meticulously crafted to provide a secure haven for your 14.1  laptop, tablet, or other valuable devices, safeguarding them from potential damage caused by bumps, scratches, or dust. Its timeless and elegant design exudes an irresistible charm that beautifully complements any attire. The backpack offers ample space to accommodate your smaller accessories and essential items, including a ladies  handbag, making it a practical and stylish addition to your wardrobe. A classic and sophisticated essential for every woman s fashion collection.	https://digitalshopper.co.za/products/supanova-steph-141-laptop-backpack-black	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/jm.j.jpg	in_stock	649 ZAR	SupaNova	Bags and Covers	Backpacks	no
37194b91-a347-4689-9683-a3441e975792	TR90 V-Shake Start Up kit	Discover TR90 V-Shakes: the vegan-friendly protein shake the whole planet can enjoy. These delicious shakes are made of plant-based protein and contains no artificial colours or sweeteners, making it a convenient snack to enjoy to complete your diet and to achieve your desired life goals. 	https://digitalshopper.co.za/products/tr90-v-shake-start-up-kit	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/tr90-packshop.webp	in_stock	1499 ZAR	Pharmanex	Sport & Health	Supplements	no
6ee6d588-ccdc-4338-88ab-1e994a69151e	Nu Skin 180° Face Wash	Youthful-looking skin, powered by Vitamin C. Containing 10% active, free-flowing Vitamin C, Nu Skin 180° Face Wash brings potent anti-ageing benefits to your daily cleanse. The Vitamin C-powered formula targets the appearance of age spots and skin discolouration, while supporting skin firmness and diminishing the appearance of wrinkles. Your complexion is left looking fresh and youthful.	https://digitalshopper.co.za/products/nu-skin-180-face-wash	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/nuskin_180_facewash_main.webp	in_stock	799 ZAR	Nu Skin 180°	Cosmetics	Skincare	no
0fd9fbe9-a798-475c-bdef-9d771ce2f174	Nu Skin 180º Cell Renewal Fluid	Featuring a potent 15% concentration of a polyhydroxy acid (PHA), Gluconolactone, Nu Skin 180º Cell Renewal Fluid gently but effectively promotes cell turnover. The multi-action serum also works to improve barrier function of the external layer of the skin, enhances skin firmness, and helps smooth texture while reducing the appearance of lines and wrinkles.	https://digitalshopper.co.za/products/nu-skin-180o-cell-renewal-fluid	https://wrdsrupthgeuaredfstv.supabase.co/storage/v1/object/public/products/nuskin_180_cell_renewal_fluid.webp	in_stock	1399 ZAR	Nu Skin 180°	Cosmetics	Skincare	no
